,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4821504589,164,420,13,1606920122518,NONE,JUNGLE
1,KR,4821450567,62,420,13,1606918649525,DUO_SUPPORT,NONE
2,KR,4821162954,126,420,13,1606916275097,SOLO,TOP
3,KR,4821042953,114,420,13,1606910381542,SOLO,TOP
4,KR,4820885413,106,420,13,1606907712752,SOLO,TOP
5,KR,4806831648,54,420,13,1606380543417,SOLO,TOP
6,KR,4794333086,126,420,13,1605866736053,SOLO,TOP
7,KR,4794139780,80,420,13,1605860411543,DUO_SUPPORT,BOTTOM
8,KR,4794173348,68,420,13,1605857509811,SOLO,MID
9,KR,4794038594,54,420,13,1605855047039,DUO_SUPPORT,NONE
10,KR,4794055672,517,420,13,1605853692057,DUO_SUPPORT,NONE
11,KR,4793471190,875,420,13,1605809639142,DUO_SUPPORT,NONE
12,KR,4793369516,164,420,13,1605807668249,DUO,TOP
13,KR,4793395833,62,420,13,1605805241733,SOLO,TOP
14,KR,4793363057,58,420,13,1605803147836,SOLO,TOP
15,KR,4793275782,58,420,13,1605799781675,DUO,TOP
16,KR,4792840549,98,420,13,1605785010055,SOLO,TOP
17,KR,4792704526,98,420,13,1605782810142,DUO,MID
18,KR,4792731177,85,420,13,1605781571608,DUO_SUPPORT,NONE
19,KR,4792544161,516,420,13,1605778759753,DUO_SUPPORT,NONE
20,KR,4792229743,517,420,13,1605776215874,SOLO,TOP
21,KR,4792211299,126,420,13,1605772068110,SOLO,TOP
22,KR,4792147804,114,420,13,1605770318757,SOLO,TOP
23,KR,4792192900,875,420,13,1605768100482,SOLO,TOP
24,KR,4792161006,54,420,13,1605766762372,DUO_SUPPORT,NONE
25,KR,4791998601,78,420,13,1605764729239,DUO_SUPPORT,NONE
26,KR,4791658013,875,420,13,1605716182071,SOLO,TOP
27,KR,4791661256,126,420,13,1605712879999,DUO_CARRY,TOP
28,KR,4791537361,84,420,13,1605711235745,SOLO,TOP
29,KR,4791541379,516,420,13,1605709070137,SOLO,TOP
